Position,Starting Grid,kaggle_driver_id,raceId,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
3,6.0,817,1041,2020,Renault,Eifel,0,1,6,1.0,1.0,86.836,86.096,86.223
4,9.0,815,1041,2020,Racing Point,Eifel,0,1,9,1.0,1.0,87.12,86.33,86.70400000000001
5,10.0,832,1041,2020,McLaren,Eifel,0,1,10,1.0,1.0,87.378,86.361,86.709
6,12.0,842,1041,2020,AlphaTauri,Eifel,0,1,12,1.0,0.0,87.072,86.776,
7,4.0,844,1041,2020,Ferrari,Eifel,0,1,4,1.0,1.0,86.857,86.24,86.035
8,20.0,807,1041,2020,Racing Point,Eifel,0,1,20,0.0,0.0,88.021,,
9,16.0,154,1041,2020,Haas,Eifel,0,1,16,0.0,0.0,87.55199999999999,,
10,14.0,841,1041,2020,Alfa Romeo,Eifel,0,1,14,1.0,0.0,87.532,86.936,
11,11.0,20,1041,2020,Ferrari,Eifel,0,1,11,1.0,0.0,87.107,86.738,
12,19.0,8,1041,2020,Alfa Romeo,Eifel,0,1,19,0.0,0.0,87.81700000000001,,
13,15.0,825,1041,2020,Haas,Eifel,0,1,15,1.0,0.0,87.231,87.125,
14,18.0,849,1041,2020,Williams,Eifel,0,1,18,0.0,0.0,87.812,,
15,13.0,826,1041,2020,AlphaTauri,Eifel,0,1,13,1.0,0.0,87.285,86.848,
21,8.0,846,1041,2020,McLaren,Eifel,0,1,8,1.0,1.0,86.82900000000001,86.316,86.458
21,5.0,848,1041,2020,Red Bull Racing,Eifel,0,1,5,1.0,1.0,87.126,86.285,86.047
21,7.0,839,1041,2020,Renault,Eifel,0,1,7,1.0,1.0,87.086,86.364,86.242
21,1.0,822,1041,2020,Mercedes,Eifel,0,1,1,1.0,1.0,86.57300000000001,85.971,85.269
21,17.0,847,1041,2020,Williams,Eifel,0,1,17,0.0,0.0,87.564,,
1,1.0,1,1042,2020,Mercedes,Portugal,1,0,1,1.0,1.0,76.828,76.824,76.652
2,2.0,822,1042,2020,Mercedes,Portugal,1,0,2,1.0,1.0,76.945,76.46600000000001,76.754
3,3.0,830,1042,2020,Red Bull Racing,Portugal,1,0,3,1.0,1.0,76.879,77.038,76.904
4,4.0,844,1042,2020,Ferrari,Portugal,1,0,4,1.0,1.0,77.42099999999999,77.367,77.09
5,9.0,842,1042,2020,AlphaTauri,Portugal,1,0,9,1.0,1.0,77.209,77.367,77.803
6,7.0,832,1042,2020,McLaren,Portugal,1,0,7,1.0,1.0,77.627,77.18299999999999,77.52
7,5.0,815,1042,2020,Racing Point,Portugal,1,0,5,1.0,1.0,77.37,77.129,77.223
8,11.0,839,1042,2020,Renault,Portugal,1,0,11,1.0,0.0,77.775,77.614,
9,10.0,817,1042,2020,Renault,Portugal,1,0,10,1.0,0.0,77.621,77.481,
10,15.0,20,1042,2020,Ferrari,Portugal,1,0,15,1.0,0.0,77.446,77.919,
11,16.0,8,1042,2020,Alfa Romeo,Portugal,1,0,16,0.0,0.0,78.201,,
12,6.0,848,1042,2020,Red Bull Racing,Portugal,1,0,6,1.0,1.0,77.435,77.411,77.437
13,8.0,846,1042,2020,McLaren,Portugal,1,0,8,1.0,1.0,77.547,77.321,77.525
14,14.0,847,1042,2020,Williams,Portugal,1,0,14,1.0,0.0,77.931,77.788,
15,17.0,841,1042,2020,Alfa Romeo,Portugal,1,0,17,0.0,0.0,78.32300000000001,,
16,19.0,825,1042,2020,Haas,Portugal,1,0,19,0.0,0.0,78.508,,
17,18.0,154,1042,2020,Haas,Portugal,1,0,18,0.0,0.0,78.364,,
18,20.0,849,1042,2020,Williams,Portugal,1,0,20,0.0,0.0,78.777,,
19,13.0,826,1042,2020,AlphaTauri,Portugal,1,0,13,1.0,0.0,77.84100000000001,77.72800000000001,
21,12.0,840,1042,2020,Racing Point,Portugal,1,0,12,1.0,0.0,77.667,77.626,
1,2.0,1,1043,2020,Mercedes,Emilia Romagna,0,1,2,1.0,1.0,74.229,74.643,73.706
2,1.0,822,1043,2020,Mercedes,Emilia Romagna,0,1,1,1.0,1.0,74.221,74.58500000000001,73.609
3,5.0,817,1043,2020,Renault,Emilia Romagna,0,1,5,1.0,1.0,75.474,74.953,74.52
4,8.0,826,1043,2020,AlphaTauri,Emilia Romagna,0,1,8,1.0,1.0,75.412,75.022,74.696
5,7.0,844,1043,2020,Ferrari,Emilia Romagna,0,1,7,1.0,1.0,75.123,75.017,74.616
6,11.0,815,1043,2020,Racing Point,Emilia Romagna,0,1,11,1.0,0.0,75.407,75.061,
7,10.0,832,1043,2020,McLaren,Emilia Romagna,0,1,10,1.0,1.0,75.528,75.027,74.911
8,9.0,846,1043,2020,McLaren,Emilia Romagna,0,1,9,1.0,1.0,75.274,75.051,74.814
9,18.0,8,1043,2020,Alfa Romeo,Emilia Romagna,0,1,18,0.0,0.0,75.953,,
10,20.0,841,1043,2020,Alfa Romeo,Emilia Romagna,0,1,20,0.0,0.0,76.208,,
11,19.0,849,1043,2020,Williams,Emilia Romagna,0,1,19,0.0,0.0,75.987,,
12,14.0,20,1043,2020,Ferrari,Emilia Romagna,0,1,14,1.0,0.0,75.571,75.385,
13,15.0,840,1043,2020,Racing Point,Emilia Romagna,0,1,15,1.0,0.0,75.822,75.494,
14,16.0,154,1043,2020,Haas,Emilia Romagna,0,1,16,0.0,0.0,75.918,,
15,6.0,848,1043,2020,Red Bull Racing,Emilia Romagna,0,1,6,1.0,1.0,75.402,74.745,74.572
21,13.0,847,1043,2020,Williams,Emilia Romagna,0,1,13,1.0,0.0,75.76,75.32300000000001,
21,3.0,830,1043,2020,Red Bull Racing,Emilia Romagna,0,1,3,1.0,1.0,75.034,74.974,74.176
21,17.0,825,1043,2020,Haas,Emilia Romagna,0,1,17,0.0,0.0,75.939,,
21,12.0,839,1043,2020,Renault,Emilia Romagna,0,1,12,1.0,0.0,75.352,75.201,
21,4.0,842,1043,2020,AlphaTauri,Emilia Romagna,0,1,4,1.0,1.0,75.18299999999999,74.681,74.502
1,6.0,1,1044,2020,Mercedes,Turkey,0,1,6,1.0,1.0,127.599,112.709,112.56
2,3.0,815,1044,2020,Racing Point,Turkey,0,1,3,1.0,1.0,127.614,114.097,109.321
3,11.0,20,1044,2020,Ferrari,Turkey,0,1,12,1.0,0.0,123.356,115.169,
4,12.0,844,1044,2020,Ferrari,Turkey,0,1,14,1.0,0.0,124.464,116.696,
5,15.0,832,1044,2020,McLaren,Turkey,0,1,13,1.0,0.0,127.489,115.41,
6,2.0,830,1044,2020,Red Bull Racing,Turkey,0,1,2,1.0,1.0,117.485,110.293,108.055
7,4.0,848,1044,2020,Red Bull Racing,Turkey,0,1,4,1.0,1.0,119.431,112.282,110.448
8,14.0,846,1044,2020,McLaren,Turkey,0,1,11,1.0,0.0,127.167,114.945,
9,1.0,840,1044,2020,Racing Point,Turkey,0,1,1,1.0,1.0,127.467,113.372,107.765
10,5.0,817,1044,2020,Renault,Turkey,0,1,5,1.0,1.0,125.598,114.278,111.595
11,7.0,839,1044,2020,Renault,Turkey,0,1,7,1.0,1.0,126.115,113.657,112.622
12,16.0,826,1044,2020,AlphaTauri,Turkey,0,1,17,0.0,0.0,129.07,,
13,19.0,842,1044,2020,AlphaTauri,Turkey,0,1,15,1.0,0.0,125.579,118.556,
14,9.0,822,1044,2020,Mercedes,Turkey,0,1,9,1.0,1.0,127.001,113.767,113.258
15,8.0,8,1044,2020,Alfa Romeo,Turkey,0,1,8,1.0,1.0,121.249,113.793,112.745
16,20.0,847,1044,2020,Williams,Turkey,0,1,18,0.0,0.0,130.017,,
17,13.0,825,1044,2020,Haas,Turkey,0,1,16,0.0,0.0,128.007,,
21,17.0,154,1044,2020,Haas,Turkey,0,1,19,0.0,0.0,132.909,,
21,18.0,849,1044,2020,Williams,Turkey,0,1,20,0.0,0.0,141.611,,
21,10.0,841,1044,2020,Alfa Romeo,Turkey,0,1,10,1.0,1.0,127.341,113.431,117.226
1,1.0,1,1045,2020,Mercedes,Bahrain,0,1,1,1.0,1.0,88.343,87.586,87.264
2,3.0,830,1045,2020,Red Bull Racing,Bahrain,0,1,3,1.0,1.0,88.885,88.025,87.678
3,4.0,848,1045,2020,Red Bull Racing,Bahrain,0,1,4,1.0,1.0,88.732,88.749,88.274
4,9.0,846,1045,2020,McLaren,Bahrain,0,1,9,1.0,1.0,89.464,88.877,88.542
5,15.0,832,1045,2020,McLaren,Bahrain,0,1,15,0.0,0.0,88.975,,
6,8.0,842,1045,2020,AlphaTauri,Bahrain,0,1,8,1.0,1.0,88.971,89.008,88.44800000000001
7,6.0,817,1045,2020,Renault,Bahrain,0,1,6,1.0,1.0,89.005,88.648,88.417
8,2.0,822,1045,2020,Mercedes,Bahrain,0,1,2,1.0,1.0,88.767,88.063,87.553
9,7.0,839,1045,2020,Renault,Bahrain,0,1,7,1.0,1.0,89.203,88.937,88.419
10,12.0,844,1045,2020,Ferrari,Bahrain,0,1,12,1.0,0.0,89.137,89.16499999999999,
11,10.0,826,1045,2020,AlphaTauri,Bahrain,0,1,10,1.0,1.0,89.158,88.944,88.618
12,14.0,847,1045,2020,Williams,Bahrain,0,1,14,1.0,0.0,89.294,91.218,
13,11.0,20,1045,2020,Ferrari,Bahrain,0,1,11,1.0,0.0,89.142,89.149,
14,20.0,849,1045,2020,Williams,Bahrain,0,1,20,0.0,0.0,90.182,,
15,17.0,8,1045,2020,Alfa Romeo,Bahrain,0,1,17,0.0,0.0,89.81,,
16,16.0,841,1045,2020,Alfa Romeo,Bahrain,0,1,16,0.0,0.0,89.491,,
17,18.0,825,1045,2020,Haas,Bahrain,0,1,18,0.0,0.0,90.111,,
18,5.0,815,1045,2020,Racing Point,Bahrain,0,1,5,1.0,1.0,89.178,88.894,88.322
21,13.0,840,1045,2020,Racing Point,Bahrain,0,1,13,1.0,0.0,88.679,89.557,
21,19.0,154,1045,2020,Haas,Bahrain,0,1,19,0.0,0.0,90.138,,
1,5.0,815,1046,2020,Racing Point,Sakhir,0,1,5,1.0,1.0,54.236,53.787,53.79
2,11.0,839,1046,2020,Renault,Sakhir,0,1,11,1.0,0.0,54.309,53.995,
3,10.0,840,1046,2020,Racing Point,Sakhir,0,1,10,1.0,1.0,54.595,53.84,54.2
4,8.0,832,1046,2020,McLaren,Sakhir,0,1,8,1.0,1.0,54.45,53.818,54.01
5,7.0,817,1046,2020,Renault,Sakhir,0,1,7,1.0,1.0,54.388,53.871,53.957
6,12.0,848,1046,2020,Red Bull Racing,Sakhir,0,1,12,1.0,0.0,54.62,54.026,
7,6.0,826,1046,2020,AlphaTauri,Sakhir,0,1,6,1.0,1.0,54.346,53.856,53.906
8,1.0,822,1046,2020,Mercedes,Sakhir,0,1,1,1.0,1.0,53.904,53.803,53.377
9,2.0,847,1046,2020,Williams,Sakhir,0,1,2,1.0,1.0,54.16,53.819,53.403
10,15.0,846,1046,2020,McLaren,Sakhir,0,1,15,1.0,0.0,54.194,54.693,
11,9.0,842,1046,2020,AlphaTauri,Sakhir,0,1,9,1.0,1.0,54.207,53.941,54.154
12,13.0,20,1046,2020,Ferrari,Sakhir,0,1,13,1.0,0.0,54.301,54.175,
13,14.0,841,1046,2020,Alfa Romeo,Sakhir,0,1,14,1.0,0.0,54.523,54.377,
14,19.0,8,1046,2020,Alfa Romeo,Sakhir,0,1,19,0.0,0.0,54.963,,
15,16.0,825,1046,2020,Haas,Sakhir,0,1,16,0.0,0.0,54.705,,
16,18.0,851,1046,2020,Williams,Sakhir,0,1,18,0.0,0.0,54.892,,
17,20.0,850,1046,2020,Haas,Sakhir,0,1,20,0.0,0.0,55.426,,
21,17.0,849,1046,2020,Williams,Sakhir,0,1,17,0.0,0.0,54.796,,
21,3.0,830,1046,2020,Red Bull Racing,Sakhir,0,1,3,1.0,1.0,54.037,53.647,53.433
21,4.0,844,1046,2020,Ferrari,Sakhir,0,1,4,1.0,1.0,54.249,53.825,53.613
1,1.0,830,1047,2020,Red Bull Racing,Abu Dhabi,0,1,1,1.0,1.0,95.993,95.641,95.246
2,2.0,822,1047,2020,Mercedes,Abu Dhabi,0,1,2,1.0,1.0,95.699,95.527,95.271
3,3.0,1,1047,2020,Mercedes,Abu Dhabi,0,1,3,1.0,1.0,95.528,95.466,95.332
4,5.0,848,1047,2020,Red Bull Racing,Abu Dhabi,0,1,5,1.0,1.0,96.106,95.654,95.571
5,4.0,846,1047,2020,McLaren,Abu Dhabi,0,1,4,1.0,1.0,96.016,95.849,95.497
6,6.0,832,1047,2020,McLaren,Abu Dhabi,0,1,6,1.0,1.0,96.517,96.192,95.815
7,11.0,817,1047,2020,Renault,Abu Dhabi,0,1,12,1.0,0.0,96.704,96.406,
8,9.0,842,1047,2020,AlphaTauri,Abu Dhabi,0,1,10,1.0,1.0,96.545,96.282,96.242
9,10.0,839,1047,2020,Renault,Abu Dhabi,0,1,11,1.0,0.0,96.783,96.359,
10,8.0,840,1047,2020,Racing Point,Abu Dhabi,0,1,8,1.0,1.0,96.502,96.143,96.046
11,7.0,826,1047,2020,AlphaTauri,Abu Dhabi,0,1,7,1.0,1.0,96.459,96.214,95.963
12,15.0,8,1047,2020,Alfa Romeo,Abu Dhabi,0,1,16,0.0,0.0,97.555,,
13,12.0,844,1047,2020,Ferrari,Abu Dhabi,0,1,9,1.0,1.0,95.881,95.932,96.065
14,13.0,20,1047,2020,Ferrari,Abu Dhabi,0,1,13,1.0,0.0,96.655,96.631,
15,16.0,847,1047,2020,Williams,Abu Dhabi,0,1,18,0.0,0.0,98.045,,
16,14.0,841,1047,2020,Alfa Romeo,Abu Dhabi,0,1,14,1.0,0.0,97.075,98.248,
17,18.0,849,1047,2020,Williams,Abu Dhabi,0,1,20,0.0,0.0,98.443,,
18,20.0,825,1047,2020,Haas,Abu Dhabi,0,1,17,0.0,0.0,97.863,,
19,17.0,850,1047,2020,Haas,Abu Dhabi,0,1,19,0.0,0.0,98.173,,
21,19.0,815,1047,2020,Racing Point,Abu Dhabi,0,1,15,0.0,0.0,96.034,,
1,2.0,1,1052,2021,Mercedes,Bahrain,0,1,2.0,1.0,1.0,90.617,90.085,89.385
2,1.0,830,1052,2021,Red Bull Racing,Bahrain,0,1,1.0,1.0,1.0,90.499,90.318,88.997
3,3.0,822,1052,2021,Mercedes,Bahrain,0,1,3.0,1.0,1.0,91.2,90.186,89.586
4,7.0,846,1052,2021,McLaren,Bahrain,0,1,7.0,1.0,1.0,90.902,90.099,89.974
5,11.0,815,1052,2021,Red Bull Racing,Bahrain,0,1,11.0,1.0,0.0,91.165,90.659,
6,4.0,844,1052,2021,Ferrari,Bahrain,0,1,4.0,1.0,1.0,90.691,90.01,89.678
7,6.0,817,1052,2021,McLaren,Bahrain,0,1,6.0,1.0,1.0,90.795,90.222,89.92699999999999
8,8.0,832,1052,2021,Ferrari,Bahrain,0,1,8.0,1.0,1.0,91.653,90.009,90.215
9,13.0,852,1052,2021,AlphaTauri,Bahrain,0,1,13.0,1.0,0.0,90.607,91.203,
10,10.0,840,1052,2021,Aston Martin,Bahrain,0,1,10.0,1.0,1.0,91.261,90.624,90.601
11,14.0,8,1052,2021,Alfa Romeo,Bahrain,0,1,14.0,1.0,0.0,91.547,91.238,
12,12.0,841,1052,2021,Alfa Romeo,Bahrain,0,1,12.0,1.0,0.0,90.998,90.708,
13,16.0,839,1052,2021,Alpine,Bahrain,0,1,16.0,0.0,0.0,91.724,,
14,15.0,847,1052,2021,Williams,Bahrain,0,1,15.0,1.0,0.0,91.316,93.43,
15,20.0,20,1052,2021,Aston Martin,Bahrain,0,1,18.0,0.0,0.0,92.056,,
16,18.0,854,1052,2021,Haas,Bahrain,0,1,19.0,0.0,0.0,92.449,,
17,5.0,842,1052,2021,AlphaTauri,Bahrain,0,1,5.0,1.0,1.0,90.848,90.513,89.809
18,17.0,849,1052,2021,Williams,Bahrain,0,1,17.0,0.0,0.0,91.936,,
21,9.0,4,1052,2021,Alpine,Bahrain,0,1,9.0,1.0,1.0,90.863,90.595,90.249
21,19.0,853,1052,2021,Haas,Bahrain,0,1,20.0,0.0,0.0,93.273,,
1,2.0,830,1053,2021,Red Bull Racing,Emilia Romagna,0,1,3.0,1.0,1.0,75.109,74.884,74.498
2,1.0,1,1053,2021,Mercedes,Emilia Romagna,0,1,1.0,1.0,1.0,74.82300000000001,74.81700000000001,74.411
3,7.0,846,1053,2021,McLaren,Emilia Romagna,0,1,7.0,1.0,1.0,75.009,74.718,74.875
4,4.0,844,1053,2021,Ferrari,Emilia Romagna,0,1,4.0,1.0,1.0,75.413,74.80799999999999,74.74
5,11.0,832,1053,2021,Ferrari,Emilia Romagna,0,1,11.0,1.0,0.0,75.406,75.199,
6,6.0,817,1053,2021,McLaren,Emilia Romagna,0,1,6.0,1.0,1.0,75.669,75.033,74.826
7,5.0,842,1053,2021,AlphaTauri,Emilia Romagna,0,1,5.0,1.0,1.0,75.548,74.92699999999999,74.78999999999999
8,10.0,840,1053,2021,Aston Martin,Emilia Romagna,0,1,10.0,1.0,0.0,75.522,75.138,
9,9.0,839,1053,2021,Alpine,Emilia Romagna,0,1,9.0,1.0,1.0,75.385,75.117,75.21000000000001
10,15.0,4,1053,2021,Alpine,Emilia Romagna,0,1,15.0,1.0,0.0,75.832,75.593,
11,2.0,815,1053,2021,Red Bull Racing,Emilia Romagna,0,1,2.0,1.0,1.0,75.395,74.716,74.446
12,20.0,852,1053,2021,AlphaTauri,Emilia Romagna,0,1,20.0,0.0,0.0,,,
13,16.0,8,1053,2021,Alfa Romeo,Emilia Romagna,0,1,16.0,0.0,0.0,75.974,,
14,17.0,841,1053,2021,Alfa Romeo,Emilia Romagna,0,1,17.0,0.0,0.0,76.122,,
15,13.0,20,1053,2021,Aston Martin,Emilia Romagna,0,1,13.0,1.0,0.0,75.459,75.394,
16,18.0,854,1053,2021,Haas,Emilia Romagna,0,1,18.0,0.0,0.0,76.279,,
17,19.0,853,1053,2021,Haas,Emilia Romagna,0,1,19.0,0.0,0.0,76.797,,
21,8.0,822,1053,2021,Mercedes,Emilia Romagna,0,1,8.0,1.0,1.0,74.672,74.905,74.898
21,12.0,847,1053,2021,Williams,Emilia Romagna,0,1,12.0,1.0,0.0,75.826,75.261,
21,14.0,849,1053,2021,Williams,Emilia Romagna,0,1,14.0,1.0,0.0,75.653,75.593,
1,2.0,1,1054,2021,Mercedes,Portugal,0,1,2.0,1.0,1.0,78.857,77.968,78.355
2,3.0,830,1054,2021,Red Bull Racing,Portugal,0,1,3.0,1.0,1.0,79.485,78.65,78.746
3,1.0,822,1054,2021,Mercedes,Portugal,0,1,1.0,1.0,1.0,78.72200000000001,78.458,78.348
4,4.0,815,1054,2021,Red Bull Racing,Portugal,0,1,4.0,1.0,1.0,79.337,78.845,78.89
5,7.0,846,1054,2021,McLaren,Portugal,0,1,7.0,1.0,1.0,78.794,78.481,79.116
6,8.0,844,1054,2021,Ferrari,Portugal,0,1,8.0,1.0,1.0,79.373,78.769,79.306
7,6.0,839,1054,2021,Alpine,Portugal,0,1,6.0,1.0,1.0,79.092,78.586,79.042
8,13.0,4,1054,2021,Alpine,Portugal,0,1,13.0,1.0,0.0,79.72800000000001,79.456,
9,16.0,817,1054,2021,McLaren,Portugal,0,1,16.0,0.0,0.0,79.839,,
10,9.0,842,1054,2021,AlphaTauri,Portugal,0,1,9.0,1.0,1.0,79.464,79.05199999999999,79.475
11,5.0,832,1054,2021,Ferrari,Portugal,0,1,5.0,1.0,1.0,79.309,78.813,79.039
12,12.0,841,1054,2021,Alfa Romeo,Portugal,0,1,12.0,1.0,0.0,79.41,79.21600000000001,
13,10.0,20,1054,2021,Aston Martin,Portugal,0,1,10.0,1.0,1.0,79.40299999999999,78.97,79.65899999999999
14,17.0,840,1054,2021,Aston Martin,Portugal,0,1,17.0,0.0,0.0,79.913,,
15,14.0,852,1054,2021,AlphaTauri,Portugal,0,1,14.0,1.0,0.0,79.684,79.463,
16,11.0,847,1054,2021,Williams,Portugal,0,1,11.0,1.0,0.0,79.797,79.10900000000001,
17,19.0,854,1054,2021,Haas,Portugal,0,1,19.0,0.0,0.0,80.452,,
18,18.0,849,1054,2021,Williams,Portugal,0,1,18.0,0.0,0.0,80.285,,
19,20.0,853,1054,2021,Haas,Portugal,0,1,20.0,0.0,0.0,80.912,,
21,15.0,8,1054,2021,Alfa Romeo,Portugal,0,1,15.0,1.0,0.0,79.748,79.812,
1,1.0,1,1055,2021,Mercedes,Spain,0,1,1.0,1.0,1.0,78.245,77.166,76.741
2,2.0,830,1055,2021,Red Bull Racing,Spain,0,1,2.0,1.0,1.0,78.09,76.922,76.777
3,3.0,822,1055,2021,Mercedes,Spain,0,1,3.0,1.0,1.0,78.005,77.142,76.873
4,4.0,844,1055,2021,Ferrari,Spain,0,1,4.0,1.0,1.0,78.041,77.717,77.51
5,8.0,815,1055,2021,Red Bull Racing,Spain,0,1,8.0,1.0,1.0,78.203,77.669,77.701
6,7.0,817,1055,2021,McLaren,Spain,0,1,7.0,1.0,1.0,78.264,77.719,77.622
7,6.0,832,1055,2021,Ferrari,Spain,0,1,6.0,1.0,1.0,78.205,77.656,77.62
8,9.0,846,1055,2021,McLaren,Spain,0,1,9.0,1.0,1.0,77.821,77.696,78.01
9,5.0,839,1055,2021,Alpine,Spain,0,1,5.0,1.0,1.0,78.281,77.743,77.58
10,12.0,842,1055,2021,AlphaTauri,Spain,0,1,12.0,1.0,0.0,78.19,77.982,
11,11.0,840,1055,2021,Aston Martin,Spain,0,1,11.0,1.0,0.0,78.241,77.974,
12,17.0,8,1055,2021,Alfa Romeo,Spain,0,1,17.0,0.0,0.0,78.917,,
13,13.0,20,1055,2021,Aston Martin,Spain,0,1,13.0,1.0,0.0,78.289,78.07900000000001,
14,15.0,847,1055,2021,Williams,Spain,0,1,15.0,1.0,0.0,78.445,79.154,
15,14.0,841,1055,2021,Alfa Romeo,Spain,0,1,14.0,1.0,0.0,78.549,78.356,
16,19.0,849,1055,2021,Williams,Spain,0,1,19.0,0.0,0.0,79.219,,
17,10.0,4,1055,2021,Alpine,Spain,0,1,10.0,1.0,1.0,78.281,77.96600000000001,78.14699999999999
18,18.0,854,1055,2021,Haas,Spain,0,1,18.0,0.0,0.0,79.117,,
19,20.0,853,1055,2021,Haas,Spain,0,1,20.0,0.0,0.0,79.807,,
21,16.0,852,1055,2021,AlphaTauri,Spain,0,1,16.0,0.0,0.0,78.556,,
1,2.0,830,1056,2021,Red Bull Racing,Monaco,0,1,2.0,1.0,1.0,71.124,70.65,70.576
2,4.0,832,1056,2021,Ferrari,Monaco,0,1,4.0,1.0,1.0,71.324,70.806,70.611
3,5.0,846,1056,2021,McLaren,Monaco,0,1,5.0,1.0,1.0,71.321,71.031,70.62
4,9.0,815,1056,2021,Red Bull Racing,Monaco,0,1,9.0,1.0,1.0,71.644,71.019,71.57300000000001
5,8.0,20,1056,2021,Aston Martin,Monaco,0,1,8.0,1.0,1.0,72.078,71.309,71.419
6,6.0,842,1056,2021,AlphaTauri,Monaco,0,1,6.0,1.0,1.0,71.56,71.179,70.9
7,7.0,1,1056,2021,Mercedes,Monaco,0,1,7.0,1.0,1.0,71.622,71.116,71.095
8,13.0,840,1056,2021,Aston Martin,Monaco,0,1,13.0,1.0,0.0,71.979,71.6,
9,11.0,839,1056,2021,Alpine,Monaco,0,1,11.0,1.0,0.0,71.74,71.486,
10,10.0,841,1056,2021,Alfa Romeo,Monaco,0,1,10.0,1.0,1.0,71.658,71.409,71.779
11,14.0,8,1056,2021,Alfa Romeo,Monaco,0,1,14.0,1.0,0.0,71.899,71.642,
12,12.0,817,1056,2021,McLaren,Monaco,0,1,12.0,1.0,0.0,71.747,71.598,
13,17.0,4,1056,2021,Alpine,Monaco,0,1,17.0,0.0,0.0,72.205,,
14,15.0,847,1056,2021,Williams,Monaco,0,1,15.0,1.0,0.0,72.016,71.83,
15,18.0,849,1056,2021,Williams,Monaco,0,1,18.0,0.0,0.0,72.366,,
16,16.0,852,1056,2021,AlphaTauri,Monaco,0,1,16.0,0.0,0.0,72.096,,
17,19.0,853,1056,2021,Haas,Monaco,0,1,19.0,0.0,0.0,72.958,,
18,20.0,854,1056,2021,Haas,Monaco,0,1,,,,,,
21,3.0,822,1056,2021,Mercedes,Monaco,0,1,3.0,1.0,1.0,70.938,70.695,70.601
21,1.0,844,1056,2021,Ferrari,Monaco,0,1,1.0,1.0,1.0,71.113,70.597,70.346
1,6.0,815,1057,2021,Red Bull Racing,Azerbaijan,0,1,7.0,1.0,1.0,101.968,101.63,101.917
2,11.0,20,1057,2021,Aston Martin,Azerbaijan,0,1,11.0,1.0,0.0,102.46,102.224,
3,4.0,842,1057,2021,AlphaTauri,Azerbaijan,0,1,4.0,1.0,1.0,102.288,101.932,101.565
4,1.0,844,1057,2021,Ferrari,Azerbaijan,0,1,1.0,1.0,1.0,102.241,101.659,101.218
5,9.0,846,1057,2021,McLaren,Azerbaijan,0,1,6.0,1.0,1.0,102.167,101.813,101.747
6,8.0,4,1057,2021,Alpine,Azerbaijan,0,1,9.0,1.0,1.0,102.934,102.195,102.327
7,7.0,852,1057,2021,AlphaTauri,Azerbaijan,0,1,8.0,1.0,1.0,102.521,101.654,102.211
8,5.0,832,1057,2021,Ferrari,Azerbaijan,0,1,5.0,1.0,1.0,102.121,101.74,101.576
9,13.0,817,1057,2021,McLaren,Azerbaijan,0,1,13.0,1.0,0.0,102.304,102.558,
10,14.0,8,1057,2021,Alfa Romeo,Azerbaijan,0,1,14.0,1.0,0.0,102.923,102.587,
11,20.0,841,1057,2021,Alfa Romeo,Azerbaijan,0,1,20.0,0.0,0.0,,,
12,10.0,822,1057,2021,Mercedes,Azerbaijan,0,1,10.0,1.0,1.0,102.701,102.106,102.659
13,17.0,854,1057,2021,Haas,Azerbaijan,0,1,17.0,0.0,0.0,104.158,,
14,18.0,853,1057,2021,Haas,Azerbaijan,0,1,18.0,0.0,0.0,104.238,,
15,2.0,1,1057,2021,Mercedes,Azerbaijan,0,1,2.0,1.0,1.0,101.545,101.634,101.45
16,16.0,849,1057,2021,Williams,Azerbaijan,0,1,16.0,0.0,0.0,103.128,,
17,15.0,847,1057,2021,Williams,Azerbaijan,0,1,15.0,1.0,0.0,102.728,102.758,
18,3.0,830,1057,2021,Red Bull Racing,Azerbaijan,0,1,3.0,1.0,1.0,101.76,101.625,101.563
21,19.0,840,1057,2021,Aston Martin,Azerbaijan,0,1,19.0,0.0,0.0,,,
21,12.0,839,1057,2021,Alpine,Azerbaijan,0,1,12.0,1.0,0.0,102.426,102.273,
1,1.0,830,1059,2021,Red Bull Racing,France,0,1,1.0,1.0,1.0,91.001,91.08,89.99
2,2.0,1,1059,2021,Mercedes,France,0,1,2.0,1.0,1.0,91.237,90.788,90.248
3,4.0,815,1059,2021,Red Bull Racing,France,0,1,4.0,1.0,1.0,91.56,90.971,90.445
4,3.0,822,1059,2021,Mercedes,France,0,1,3.0,1.0,1.0,91.669,90.735,90.376
5,8.0,846,1059,2021,McLaren,France,0,1,8.0,1.0,1.0,91.733,91.542,91.252
6,10.0,817,1059,2021,McLaren,France,0,1,10.0,1.0,1.0,92.181,91.615,91.382
7,6.0,842,1059,2021,AlphaTauri,France,0,1,6.0,1.0,1.0,91.898,91.353,90.868
8,9.0,4,1059,2021,Alpine,France,0,1,9.0,1.0,1.0,92.158,91.549,91.34
9,12.0,20,1059,2021,Aston Martin,France,0,1,12.0,1.0,0.0,92.132,91.767,
10,19.0,840,1059,2021,Aston Martin,France,0,1,19.0,0.0,0.0,,,
11,5.0,832,1059,2021,Ferrari,France,0,1,5.0,1.0,1.0,92.079,91.146,90.84
12,14.0,847,1059,2021,Williams,France,0,1,14.0,1.0,0.0,93.06,92.065,
