Track,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,year,Team
Las Vegas,4,7,1,1,113.739,111.865,109.466,2025,Aston Martin
Las Vegas,864,8,1,1,115.613,111.12,109.554,2025,Racing Bulls
Las Vegas,844,9,1,1,114.814,111.952,109.872,2025,Ferrari
Las Vegas,842,10,1,1,114.432,111.76,111.54,2025,Alpine
Las Vegas,807,11,1,0,114.555,112.781,,2025,Kick Sauber
Las Vegas,840,12,1,0,114.416,112.85,,2025,Aston Martin
Las Vegas,839,13,1,0,114.635,112.987,,2025,Haas
Las Vegas,860,14,1,0,116.016,113.094,,2025,Haas
Las Vegas,861,15,1,0,114.847,113.683,,2025,Alpine
Las Vegas,848,16,0,0,116.22,,,2025,Williams
Las Vegas,863,17,0,0,116.314,,,2025,Mercedes
Las Vegas,865,18,0,0,116.674,,,2025,Kick Sauber
Las Vegas,852,19,0,0,116.798,,,2025,Red Bull Racing
Las Vegas,1,20,0,0,117.115,,,2025,Ferrari
Qatar,857,1,1,1,80.23400000000001,79.65,79.387,2025,McLaren
Qatar,846,2,1,1,80.157,79.861,79.495,2025,McLaren
Qatar,830,3,1,1,80.47200000000001,79.985,79.651,2025,Red Bull Racing
Qatar,847,4,1,1,80.074,180.186,79.662,2025,Mercedes
Qatar,863,5,1,1,80.576,180.084,79.846,2025,Mercedes
Qatar,864,6,1,1,80.60300000000001,80.35,80.114,2025,Racing Bulls
Qatar,832,7,1,1,80.52,80.251,80.287,2025,Williams
Qatar,4,8,1,1,80.598,80.219,80.418,2025,Aston Martin
Qatar,842,9,1,1,80.681,80.324,80.477,2025,Alpine
Qatar,844,10,1,1,80.654,80.343,80.561,2025,Ferrari
Qatar,807,11,1,0,80.63,80.35300000000001,,2025,Kick Sauber
Qatar,859,12,1,0,80.539,80.43299999999999,,2025,Racing Bulls
Qatar,860,13,1,0,80.548,80.438,,2025,Haas
Qatar,865,14,1,0,80.65299999999999,80.53399999999999,,2025,Kick Sauber
Qatar,848,15,1,0,80.629,80.629,,2025,Williams
Qatar,852,16,0,0,80.761,,,2025,Red Bull Racing
Qatar,839,17,0,0,80.864,,,2025,Haas
Qatar,1,18,0,0,80.907,,,2025,Ferrari
Qatar,840,19,0,0,81.05799999999999,,,2025,Aston Martin
Qatar,861,20,0,0,81.137,,,2025,Alpine
Abu Dhabi,830,1,1,1,82.877,82.752,82.207,2025,Red Bull Racing
Abu Dhabi,846,2,1,1,83.178,82.804,82.408,2025,McLaren
Abu Dhabi,857,3,1,1,82.605,83.021,82.437,2025,McLaren
Abu Dhabi,847,4,1,1,83.247,82.73,82.645,2025,Mercedes
Abu Dhabi,844,5,1,1,83.163,82.94800000000001,82.73,2025,Ferrari
Abu Dhabi,4,6,1,1,83.071,82.861,82.902,2025,Aston Martin
Abu Dhabi,865,7,1,1,83.374,82.874,82.904,2025,Kick Sauber
Abu Dhabi,839,8,1,1,83.334,83.023,82.913,2025,Haas
Abu Dhabi,864,9,1,1,83.373,82.997,83.072,2025,Racing Bulls
Abu Dhabi,852,10,1,1,83.386,83.03399999999999,,2025,Red Bull Racing
Abu Dhabi,860,11,1,0,83.254,83.041,,2025,Haas
Abu Dhabi,832,12,1,0,83.187,83.042,,2025,Williams
Abu Dhabi,859,13,1,0,83.265,83.077,,2025,Racing Bulls
Abu Dhabi,863,14,1,0,82.894,83.08,,2025,Mercedes
Abu Dhabi,840,15,1,0,83.316,83.09700000000001,,2025,Aston Martin
Abu Dhabi,1,16,0,0,83.394,,,2025,Ferrari
Abu Dhabi,848,17,0,0,83.416,,,2025,Williams
Abu Dhabi,807,18,0,0,83.45,,,2025,Kick Sauber
Abu Dhabi,842,19,0,0,83.468,,,2025,Alpine
Abu Dhabi,861,20,0,0,83.89,,,2025,Alpine
